Village,Latitude,Longitude
Ganeshpur,24.236659,80.728803
Podi,24.226251,80.73938
Booda,24.238173,80.772615
Kutai,24.223471,80.763987
Berma,24.21019,80.676331
Dhatura,24.216517,80.707494
Hahur,24.22045,81.014952
Mankahari,24.211336,81.006494
Badraukh,24.21569,80.997811
Kudra,24.204483,80.636131
Jhunsi,24.214149,80.99125
Bamhni,24.203528,80.844328
Sagmaniha,24.195217,80.796509
Kidari,24.199919,80.997505
Jajnagra,24.202987,80.978288
Rampur,24.20969,80.982321
Ramchua,24.208036,81.022198
Karaudi,24.195538,80.97375
Goraiya Khurd,24.20888,80.770797
Sonwarsa,24.160759,80.687194
Bihara Khurd,24.194157,80.956799
Kanhwara,24.196371,80.703368
Itama,24.1932,80.719422
Khaira,24.197585,80.766527
Chaupda,24.190445,80.826908
Kolhai,24.189806,80.970262
Madwar,24.197038,81.013643
Amdara,24.111422,80.587365
Hinauta Kalan,24.180484,80.76903
Tikar Khurd,24.17746,80.944082
Bara Khurd,24.181109,80.9314
Roopganj,24.192726,80.733691
Boda,24.185713,80.898123
Devra,24.191759,80.995885
Hinauta Khurd,24.177597,80.953275
Khara,24.16734,80.966363
Arjun Devra,24.184033,80.99382
Bhadanpur N W,24.17071,80.844748
Paraswara,24.167663,80.659066
Lodhauti,24.174709,80.730698
Amadadi,24.173291,80.645176
Kherwa Kalan,24.178615,80.699977
Bharauli,24.172219,80.685584
Itma Khas Bada Itma,24.169514,80.985196
Bidwan Devra,24.175655,80.993475
Amua,24.168109,81.031264
Moharwa,24.166064,80.86469
Bhaisasur,24.17249,80.712414
Datwar,24.164605,81.014455
Barkula,24.163865,80.916399
Bhadanpur S W,24.154191,80.8154
Godin,24.156526,80.882538
Sannai,24.164401,80.767433
Patehra,24.164081,80.898823
Ghunwara,24.153218,80.63353
Ghotari,24.163297,80.889539
Jowa,24.150001,80.939162
Dhabarai,24.149474,80.729543
Dhanwahi,24.163408,81.023625
Irhara,24.164597,80.704146
Raigawan,24.145486,80.618613
Majhiyar,24.158389,80.982695
Umdaur,24.150301,80.844261
Mahedar,24.156708,80.651174
Piparhat,24.147074,80.78407
Rohiniya Kalan,24.147276,80.699913
Shrinagar,24.150086,80.770316
Nado,24.143047,81.000646
Bhamraha,24.143688,80.682693
Amiliya,24.147321,81.019914
Manni,24.144886,80.964015
Barroh,24.127292,80.775681
Badariya,24.139309,80.945204
Goraiya,24.138657,80.911853
Dataur,24.145244,80.981041
Matwara,24.138153,80.663218
Sadhera,24.134223,80.755386
Jhanjhbari,24.138279,80.896715
Pipraw Khand,24.140281,80.873544
Kherwa Sani,24.128719,80.60219
Kuwri,24.123491,80.79708
Deori,24.112886,80.788317
Latagaon,24.101403,80.85827
Riwara,24.126601,80.874817
Budhagar,24.123686,80.645473
Kakra,24.116381,80.819665
Manaura,24.118023,80.681474
Sulkhama,24.11998,80.986855
Kudari Khurd,24.127522,81.012826
Badari,24.116479,80.956288
Mohaniya,24.122994,80.589662
Pachauha,24.117914,80.92775
Judwani,24.113468,80.913928
Semra,24.110918,80.626276
Chatkaula,24.11373,80.834299
Rajhaudi,24.110893,80.901832
Salaiya,24.103879,80.773837
Krishnapur,24.111067,80.885672
Ajmain,24.092431,80.748881
Kuthilgawan,24.095916,80.601058
Baihar,24.098164,80.643539
Bahili,24.088785,80.955826
Sukwari,24.100329,80.997319
Naugawankap Sarang,24.085588,80.92577
Bandhi,24.091135,80.729894
Bhatewara,24.08804,80.672303
Tiskili Khurd,24.088978,80.584548
Badera,24.086073,80.801265
Parasrampur,24.075772,80.823123
Sarang,24.083401,80.903171
Bihara Kalan,24.083453,80.771163
Maudaha,24.070597,80.96202
Ghorbai,24.07972,80.712254
Majhiyar,24.085166,80.814557
Bharewa,24.075835,80.788688
Naugawankap,24.07678,80.63228
Guguwar,24.071846,80.803999
Tikar Kalan,24.072613,80.768829
Mand,24.066467,80.848849
Bhadai,24.067932,80.751458
Banjariya,24.053222,80.83237
Dharampura,24.056492,80.853439
Amatara,24.047651,80.810125
Amiliya,24.038448,80.836503
Bishnupur,24.029532,80.812951
Khairhani,24.234404,81.358005
Jhanda Tola,24.219476,80.786587
Mani,24.207303,80.745105
Pali,24.196346,81.02067
Gorhai,24.180521,80.74552
Pansokhara,24.17456,80.636071
Kudara,24.131641,81.029734
Kolgarh,24.116853,81.031121
Jamuwani Kalan,24.116339,80.726842
Khirwa,24.102058,80.716161
Jamuwani Khurd,24.102653,80.706178
Padrehi,24.098218,80.689707
Harraiya,24.058743,80.656142
Chari,24.068321,80.697989
Karitalai,24.039756,80.70643
Harduwa,24.041529,80.876231
Durjanpur,24.0573,80.678048
Durjanpur,24.075853,80.671475
Amraiya,24.060496,80.634439
Kymore,24.047702,80.613582
Padkhuri,24.025837,81.004481
Harduwa Hanuman,24.057577,80.771867
Bamhori,24.048021,80.746977
Karreha,24.054647,80.870699
Kusma,24.033438,80.726125
Itama,24.031287,81.022309
Salaiya Kohari,24.039468,80.641775
Itama,24.038809,80.855215
Lakhanpura,24.040777,80.788158
Majhokhar,24.020932,80.951168
Gudgadauha Gudgudaula,24.029852,80.601477
Majhyari,24.475202,80.381057
Turkital,24.471439,80.427242
Bhitari,24.462335,80.383965
Bhamraha,24.458235,80.39506
Bachharwara,24.454907,80.415761
Machharha,24.448324,80.406222
Simri Bahadursingh,24.448171,80.419544
Bamurha Devendranagar,24.440039,80.392358
Bhatiya,24.439585,80.424254
Bamhaur,24.436593,80.415325
Saleha,24.426537,80.395284
Selha,24.431708,80.450914
Ganj,24.419498,80.449264
Jamrai,24.427848,80.434027
Manikpur Bishnu,24.425906,80.416
Surma R F,24.038498,80.539566
Reserve Forest,24.00339,80.624997
Jiwara R F,23.914419,80.58336
Budhari R F,23.87999,80.615035
Reserve Forest,23.87688,80.686567
Reserve Forest,23.856165,80.746301
Tank,23.95587,80.817843
Muchmachhc R F,23.807239,80.899364
Bichpura R F,23.836466,80.826583
Tank,24.052029,80.967972
Tank,24.049598,80.907727
Reserve Forest,24.067114,80.876295
Hardua R F,24.037478,80.763917
Nachne,24.409804,80.454235
Nayagaon,24.405067,80.417994
Katra,24.411231,80.399521
Patna,24.383873,80.402131
Madaiya Kulgawan,24.384243,80.425025
Mudiya,24.382675,80.462516
Kachhgawan,24.394246,80.447857
Ghutehi,24.344047,80.500247
Bhitri Mutmuru,24.36243,80.4443
Gangota,24.366471,80.492858
Matewara,24.360609,80.395092
Deori,24.215694,81.03419
Bilha Kangali,24.333988,80.430931
Juda,24.330087,80.457079
Harduwa,24.323755,80.413377
Bijaduha Khilsari,24.290616,80.51098
Birwahi,24.319531,80.484239
Sonai,24.314948,80.50526
Dhawarai,24.222879,81.250796
Janpura,24.292371,80.470395
Madausa,24.504308,80.383698
Bachhaun,24.293569,80.425839
Khamri,24.26382,80.441296
Magarda,24.271559,80.496075
Phudwani,24.286841,80.558259
Amajhor,24.24783,80.551518
Lilwar,24.277166,80.45768
Saktara,24.267126,80.514806
Muhli Dharampura,24.26181,80.537255
Patna,24.462808,80.533154
Lohadar,24.474216,80.484941
Kapuri,24.470235,80.436149
Sijahati,24.471149,80.511902
Majhara Khurd,24.473916,80.454646
Barha,24.473127,80.526473
Dureha,24.457444,80.457523
Amkui,24.448138,80.503705
Bhagda Tola,24.46113,80.551713
Jhigodar,24.439973,80.554507
Umariha,24.459288,80.520112
Kurehi,24.429992,80.527739
Sukhsena,24.427985,80.538109
Nagjhir,24.409813,80.478649
Majhgawan,24.419737,80.512449
Jamuniya Kalan,24.415916,80.549396
Kalawal Patha,24.411657,80.58067
Semri Bihari,24.47228,80.499828
Hardua Kalan,24.410833,80.49956
Itwan Sani,24.408681,80.533136
Pahadi,24.400239,80.551682
Puraina,24.398151,80.519393
Pithaura,24.395841,80.497441
Chautariha,24.391197,80.478019
Banjhir,24.385913,80.574193
Khakhara,24.382988,80.543046
Katariya,24.382319,80.497298
Badgadi,24.365003,80.561358
Jigdaha,24.578419,80.385408
Deori,24.361515,80.526369
Kachhiwari,24.360234,80.58136
Lanhagi,24.314478,80.577636
Madri,24.436619,80.470398
Launjhir,24.43859,80.583362
Hardua Khurd,24.419538,80.480732
Kathari,24.335215,80.567135
Rajapur,24.651923,80.379402
Bara,24.617038,80.535261
Gukhaur,24.631937,80.416069
Devendranagar,24.617802,80.373982
Ratgawan,24.606894,80.423816
Phuldari,24.597873,80.440089
Itwan Tilha,24.607619,80.404233
Sundara,24.604886,80.455183
Dubahiya,24.596485,80.432012
Nunahi,24.593352,80.403918
Simri Vaishv,24.591474,80.420801
Pipariya,24.591377,80.457603
Phulwari,24.588905,80.446748
Golhi Gadhiya,24.572132,80.40836
Amsil,24.566236,80.450312
Bhilsay,24.572935,80.433004
Golhi Pathak,24.578804,80.413859
Bhatharmegha,24.563601,80.371963
Golhi Bhudiya,24.562488,80.399554
Raigarh,24.543742,80.423522
Bhatharjit,24.547841,80.386595
Dharampura?» Amsil,24.544128,80.444496
Tidunhai,24.529698,80.381382
Puraina Devendnagar,24.536456,80.400054
Girwara,24.527009,80.431321
Silgi,24.521136,80.45617
Patiya,24.512844,80.431729
Tighrabujurg,24.519533,80.392501
Supantha,24.514875,80.375129
Tilhadi,24.506267,80.392315
Mangraila Kalan,24.489067,80.378382
Malhan,24.491488,80.427932
Kartariya,24.491634,80.401984
Kathwariya,24.47179,80.407332
Manikpur Kalan,24.485491,80.389539
Bdwara,24.620687,80.404856
Itwanmahgu,24.548852,80.407054
Simari Dube,24.580178,80.368469
Simari Mdeya,24.592915,80.368413
Tiduni Motwa,24.685311,80.397117
Nongra,24.69625,80.51247
Ama,24.678153,80.50314
Bhaji Khera,24.682261,80.488
Purwa,24.691777,80.579306
Mara,24.686886,80.506016
Jamunihai,24.688842,80.570836
Pangara,24.682064,80.523218
Shivrajpur,24.664078,80.450039
Majhiyari,24.676451,80.581865
Madai,24.64651,80.429878
Bandi,24.670278,80.475651
Badkhera,24.668371,80.576239
Kandehali,24.665513,80.515243
Khamhariya Khurd,24.669826,80.562133
Urdana Kalan,24.669288,80.532447
Chitaudha,24.669287,80.546798
Kol,24.657063,80.526368
Deori,24.665182,80.501467
Mahdewa,24.661156,80.47129
Panas,24.659689,80.57918
Barkachhi,24.660187,80.540832
Jaitwara,24.656004,80.505925
Majhgawan,24.633803,80.525234
Katkon Khurd,24.651091,80.570859
Pipri,24.650192,80.488414
Belaundha,24.652359,80.477619
Kota,24.6457,80.500707
Akouna Sathiya,24.637384,80.557397
Khamhariya Kalan,24.64148,80.457626
Dhaurhara,24.640848,80.544466
Duwari Khurd,24.640536,80.479942
Narharpur,24.623764,80.578636
Duwari Kalan,24.634808,80.468805
Rara,24.636877,80.5028
Itma,24.630966,80.481828
Baboopur,24.625088,80.516005
Amiliya,24.616746,80.548458
Badohara,24.616233,80.476134
Kalpa,24.622461,80.443638
Pithaura,24.630525,80.455106
Pakar,24.627025,80.498486
Khairuwa,24.627045,80.542755
Tighara,24.623694,80.487139
Ujnehi,24.60926,80.494701
Chitaudhi,24.661433,80.550936
Chakara,24.661363,80.559866
Semarwara,24.614205,80.518612
Hadaha,24.608087,80.53229
Paraswar,24.606728,80.516154
Madha,24.605372,80.470453
Karahiya Khurd,24.601254,80.508291
Satna Patti Cheenda,24.607323,80.54273
Atraura Kalan,24.601319,80.531445
Khamrehi,24.59854,80.482422
Khakhraudha,24.598337,80.543972
Barapathar,24.588323,80.564584
Bhad,24.594065,80.470469
Karahiya Kalan,24.595503,80.533438
Rohaniya,24.592027,80.582527
Harduwa Kalan,24.586837,80.493691
Atraura Khurd,24.595191,80.520152
Lalchaha,24.590149,80.544618
Nauniya,24.583833,80.506275
Itaura Kalan,24.582393,80.529853
Itma,24.577979,80.468891
Gangwariya,24.572091,80.551036
Itma Baghelan,24.575544,80.498544
Pipri,24.577058,80.574674
Baraj,24.573931,80.581554
Antarbed,24.56868,80.508691
Pawaiya,24.565433,80.490341
Itmapar,24.564865,80.577775
Sahijana Kothar,24.454464,80.879686
Lalchaha,24.564273,80.467877
Sahijani,24.558626,80.482826
Hinauta,24.561267,80.52671
Sukulgawan,24.560208,80.567234
Amsil,24.554545,80.463549
Badhaw,24.556595,80.551145
Umari,24.551613,80.515768
Itaura Kalan,24.544296,80.466893
Madhi Kalan,24.552768,80.533818
Semri,24.543893,80.50135
Gajana Badhaw,24.550278,80.554924
Madatola,24.53991,80.560497
Atraura,24.54207,80.492531
Khajhen,24.533084,80.464727
Reusa,24.534849,80.529227
Rajapur,24.53528,80.570592
Fatepur,24.533772,80.488271
Kathwariya,24.534707,80.545669
Chankunwa,24.531577,80.580077
Tilgawan,24.531277,80.516687
Belhai Kalan,24.524147,80.50416
Dubahiya,24.523159,80.554024
Tilgawan,24.518792,80.517179
Khadarhara,24.520921,80.527351
Dhamnaha,24.510951,80.563379
Badera,24.517166,80.489829
Surdaha Khurd,24.501273,80.582661
Garlagi,24.512809,80.47655
Pansi,24.504824,80.451455
Bhitari,24.509515,80.499353
Rampura,24.510838,80.573335
Gaura,24.511194,80.527085
Umri Chaube,24.506971,80.551953
Jaso,24.496461,80.51904
Chapa,24.509387,80.518877
Bhagda,24.508402,80.488275
Sakarhat,24.506461,80.533508
Kalawal,24.50258,80.481839
Koni,24.505358,80.540545
Gadri,24.499062,80.471468
Chunaha,24.484553,80.56918
Bamuriha,24.493154,80.543911
Raikari,24.492578,80.497608
Umri,24.491041,80.440036
Jogiya,24.491069,80.462245
Kota,24.47589,80.55009
Itaura Khurd,24.491833,80.479629
Majhgawan,24.486259,80.503439
Gadra,24.489246,80.47049
Madan Pokhra,24.483323,80.521964
Semri Kalan,24.484957,80.485643
Kodar,24.493224,80.557272
Satna Patti Raghunath,24.604044,80.561963
Baherawa,24.480273,80.445838
Majhara Kalan,24.481052,80.458049
Runehi,24.47771,80.471671
Murli,24.570793,80.52682
Belhai Khurd,24.52502,80.49088
Gudha,24.646587,80.51046
Bastara,24.612539,80.486604
Sukulgawan,24.599351,80.499718
Mahdei,24.554285,80.579155
Jamunator,24.55506,80.435461
Dudaha,24.520653,80.404774
Umarhai,24.504729,80.409208
Semri Khurd,24.490967,80.488528
Surdaha Kalan,24.471052,80.592774
Belhati,24.472907,81.008831
Krishnagarh,24.449314,81.013444
Jhiriya,24.476464,80.696317
Bihara,24.474674,80.981054
Langargava,24.471766,80.837819
Karpwah Bhaip,24.45425,80.987939
Bhummra,24.448171,80.695095
Madhau,24.465909,80.782192
Khamhariya,24.457332,80.674781
Matri Barmendra,24.457658,80.836952
Kolgawan,24.470796,80.819945
Itama Nadi Teer,24.456455,80.904714
Ledara,24.462307,80.979042
Dhaneh,24.463487,80.799784
Matri Pataura,24.464044,80.872859
Govrao Khurd,24.455848,80.81302
Kordara,24.448871,80.610185
Mohnna,24.447653,80.646137
Bharhata,24.449269,80.82557
Gobrao Kalan,24.44907,80.788509
Pithaurabad,24.447443,80.750325
Bharhut,24.4408,80.871227
Itava Kalan,24.453736,80.799376
Antarbediya Khurd,24.44596,80.719305
Karpwah Kothar,24.451329,80.976579
Mahewa,24.440166,80.957702
Antarhar,24.442391,80.897497
Dewar,24.442145,80.846164
Bihata,24.431232,80.784541
Koniya Puranik,24.438847,81.02826
Kheriya Paipkhar,24.444011,80.980686
Koniya Mohandas,24.442073,81.002878
Kudahari Khurd,24.440582,80.800574
Baboopur,24.432778,80.922887
Nargi,24.112725,81.80973
Duwari Kothar,24.440124,80.995317
Panni,24.438588,80.604927
Kharwahi,24.408833,80.892755
Kudahari Kalan,24.436291,80.818198
Kanyari,24.429837,80.893614
Karimati,24.430234,80.658644
Kheriya Kothar,24.435826,80.976623
Hinauta,24.102981,81.815745
Koniya Dharampur,24.436416,81.010195
Khamha,24.416223,80.637054
Umari,24.425467,80.949521
Palhanpur,24.416462,80.799057
Duwari Unamulan,24.429714,80.994523
Koniya Kothar,24.429096,81.019291
Kotrahi Khurd,24.424511,80.619243
Bandraha,24.424297,80.724547
Binchawa,24.429722,80.596238
Amiliya Patha,24.42527,80.585012
Shivpurwa,24.419761,81.009296
Mahrajpur,24.425982,80.688513
Naugawan,24.425598,80.826181
Sonaura,24.426332,80.982595
Akahi,24.422596,80.8156
Bhuruhra,24.395605,80.692045
Khukhada Kothar,24.423999,81.026724
Gudha,24.419112,80.599562
Kotrahi Kalan,24.416822,80.624364
Kastari,24.443838,81.343214
Pipri Kalan,24.418775,80.838279
Sakhauha Kalan,24.416459,80.654655
Choraha,24.415132,81.018245
Khaleshar,24.47197,80.963297
Jaitpur,24.461267,80.622358
Akauni Kothar,24.449208,80.995403
Dudaha,24.410409,80.939199
Rampur Murwar,24.415012,80.915552
Shivrampur,24.393955,80.606636
Bhadari,24.415544,80.974074
Dadri,24.420017,80.858138
Asarar,24.405532,80.989987
Chakera,24.407887,80.953954
Chorhata,24.397697,80.923011
Koniya,24.411206,80.8616
Kadiya,24.38043,80.621507
Deogana,24.402498,80.595204
Urdani,24.407739,80.834976
Sakhauha Khurd,24.404603,80.655117
Podi,24.404144,80.856302
Urdana,24.403427,80.844441
Majhiyar Unmulan,24.404032,80.971294
Obari,24.402444,81.01059
Gadri,24.392097,80.674973
Katiya,24.400233,80.823399
Sonkachar,24.390797,80.871052
Jarmohra,24.391073,80.879875
Itama,24.392781,80.97529
Karahi Kalan,24.390722,80.848044
Kansa,24.374455,80.917129
Unchahara,24.396583,80.78775
Mugahani Khurd,24.36618,80.725695
Katar,24.371708,80.758287
Itha Khokharra,24.389433,80.716341
Itama Kothar,24.393007,80.895478
Deori,24.390711,80.948877
Dobha,24.37945,80.647669
Chauthar,24.375799,80.819025
Paprenga,24.38826,80.814768
Dhaniya,24.375368,80.674509
Majhakpa,24.387701,80.782485
Lakhaha Paipkhar,24.382553,80.926414
Bhatgawan,24.381953,80.898505
Bara,24.381259,80.882285
Barreh Bada,24.333715,80.998252
Beeda,24.378504,80.96445
Dwara Mugahani,24.376386,80.73433
Kulpura,24.37907,80.806918
Gadauli,24.377091,80.870755
Badkhura,24.374327,80.940502
Dhamanahai,24.374706,80.779776
Ragala,24.36869,80.795771
Panna,24.359748,80.599522
Uphari,24.371959,80.89777
Semara,24.364889,80.972743
Barethi,24.362886,80.881485
Magraura,24.36124,80.854361
Parasmaniya,24.369469,80.627096
Patharhata,24.360324,80.820608
Amatola,24.353441,80.872556
Piparwah,24.363922,80.90765
Tikar,24.356282,80.64669
Mauhariya Lalan,24.363341,80.941984
Bharauli,24.360263,80.628446
Mauhariya Mathuriya,24.35748,80.940325
Deora,24.337335,80.847767
Ichoul,24.347896,80.786362
Karaundi Upadhyay,24.335226,80.936925
Barreh Bihariram,24.347287,80.999219
Barreh Chauhan Tola,24.352724,80.989341
Kasei,24.34872,80.926842
Gobri,24.349546,80.907648
Barreh Jokhuram,24.346756,80.975991
Amilya Kalan,24.346285,80.833961
Urai Chuwa,24.339367,80.693343
Jarmohra,24.350153,80.961756
Kothi,24.342091,80.759487
Paraswahi,24.335664,81.021635
Belhati,24.346484,80.80961
Rampurwa,24.336057,80.746563
Mauhariya Dewarth,24.343103,80.940263
Balrampur,24.340482,80.822734
Basadi,24.33257,80.830808
Dandi,24.332964,80.624482
Barreh Maniram,24.341226,80.982096
Barreh Gurudayalram,24.343244,81.009763
Jamtal,24.342239,80.965821
Karsara,24.337958,80.896799
Karuwa,24.338232,80.880187
Mauhariya Jagannath,24.335388,80.952522
Banshipur,24.324181,80.820462
Kushali,24.331732,80.797753
Gobariya,24.329884,80.91391
Chapna,24.318369,80.926625
Karaundi Dubey,24.311823,80.93443
Jhakhaur,24.314782,80.687045
Majhtolwa,24.336356,80.909696
Gadauli,24.333476,80.965461
Kartaha,24.320671,80.878538
Amarpatan,24.311189,80.985072
Mauhariya Ramgopal,24.327411,80.947148
Bathiya,24.310189,80.900783
Richhi,24.326012,80.605756
Rigra,24.298039,80.944662
Lalpur,24.321618,81.01352
Pipariya,24.324118,80.61334
Korwara,24.323076,80.750982
Jhurkhulu,24.323044,80.729583
Ragauli,24.322922,80.777411
Dhausad,24.319315,80.624342
Gahwara,24.318823,80.799709
Kanchanpur,24.312357,80.955113
Bheda,24.30593,80.861788
Bermay,24.301626,80.659885
Bela Railpur,24.317594,80.787409
Bakaina,24.315313,81.027423
Malhan,24.314095,80.610137
Jeetnagar,24.312754,80.772473
Mau,24.304951,80.823506
Kordari,24.26511,80.65842
Kalyanpur,24.311408,80.73483
Barhi,24.307664,80.789014
Dabra,24.308877,80.62386
Pipra Kalan,24.313286,80.802678
Tanaja Banshipur,24.31042,80.836099
Bijawah,24.306585,80.587795
Badhaw Patha,24.299035,80.713326
Suaa,24.301951,81.015847
Katiya Khurd,24.303172,80.961411
Rampur Patha,24.291434,80.683724
Bela Nadipur,24.300495,80.773921
Ladbad,24.301609,80.634659
Alampur,24.304006,80.606013
Dolni,24.30282,80.802803
Naraura,24.278659,80.841165
Manpur,24.289888,80.753788
Nadan Sharda Prasad,24.289592,80.928552
Belakhas,24.296318,80.79076
Tusgawan,24.29657,80.620041
Reusa,24.297923,80.889384
Atarhara,24.293936,80.848645
Barre,24.295113,80.587352
Sirmili,24.283114,80.88562
Patihat,24.291509,80.603925
Dubehi,24.290821,80.960715
Tamha,24.295157,80.806936
Pahadi,24.28339,80.827641
Judhmaniya,24.288403,81.00047
Barahiya,24.288666,80.902765
Khudara,24.290928,80.881208
Mauhariya Hanuman,24.355621,80.95012
Parsokha,24.2851,80.806893
Umri Paila,24.287777,80.783028
Arkandi,24.281955,80.734768
Silauti,24.28111,80.865176
Tilaura,24.279979,80.851688
Karijhir,24.262389,80.628613
Kumhi,24.281228,80.624341
Rar,24.27958,80.670413
Jurwan,24.27943,80.876745
Mudi,24.280133,80.946846
Kharam Seda,24.251925,80.991835
Karaundi,24.280084,80.639386
Gadhaut,24.276747,80.658691
Lakhanpur,24.268817,80.808991
Itma,24.269307,81.020778
Tighra Kalan,24.27479,80.786893
Jura,24.273077,80.899668
Lakhwar,24.276777,80.809148
Kirhai,24.259438,81.017408
Nadan Shiva Prasad,24.268177,80.927862
Amdari,24.262467,80.693934
Udaipur,24.267141,80.74607
Maihar,24.26104,80.770473
Basaha,24.267147,80.643482
Buderua,24.258035,80.946938
Karaundi Kapnadan,24.261519,80.911833
Patehra,24.261834,80.753914
Umri Pipari,24.265745,80.868207
Jarua Narwar,24.25502,80.937175
Sahilara,24.258822,80.7249
Amilya Khurd,24.260602,80.809289
Katiya Kalan,24.260666,80.791504
Harnampur,24.251506,80.783096
Amda,24.252522,80.739666
Tamoriya,24.316844,80.916036
Kolhai,24.273532,80.713431
Jhanjhi,24.438237,80.592241
Saunta,24.412361,80.763934
Kulhariya Kalan,24.437139,80.61817
Panna,24.428466,80.606871
Khadaura,24.426321,80.866628
Bhandar Talai,24.408615,80.816837
Suwarguda,24.386385,80.589507
Sirgopahad,24.375542,81.010933
Bagaha Kachhar,24.376873,80.833964
Lakhaha Chaknai,24.361669,80.930044
Majhgawan,24.338947,80.650372
Mauhariya Lalu Bagaicha,24.347611,80.94978
Mauhariya Ramvishal,24.341203,80.952134
Barreh Akhata,24.332328,81.008544
Badi Khol,24.314045,80.713393
Bira,24.305255,80.750726
Jhinna,24.297422,80.969437
Magardaha,24.291006,80.64522
Mudiya,24.267042,80.880114
Majhiyar,24.263865,80.854864
Narhathi,24.371791,80.8321
Mainaha,24.431041,80.85431
Akaha,24.430178,80.839695
Bataiya Khurd,24.452397,80.866031
Kulhariya Khurd,24.431218,80.618303
Pipra,24.415666,80.695132
Kandehali,24.407041,80.727753
Chakargohan,24.685985,80.591471
Sohariha,24.432998,80.76764
Gauriya,24.421288,80.751063
Titahidandi,24.402421,80.748734
Khujha,24.41517,80.777554
Bijahara,24.404149,80.778502
Dhaura,24.453797,80.852982
Karahi Khurd,24.382044,80.83862
Mugahani Kalan,24.390854,80.738086
Karaundi Jahila,24.315191,80.943705
Barreh Patila Tola,24.335712,80.986758
Rajaha Majra Lakhaha,24.369212,80.927014
Majhgawan,24.36327,80.678027
Khoh,24.375082,80.706466
Kutmi,24.272092,80.599911
Aber,24.697954,81.016179
Kotar,24.698677,80.980528
Pawaiya,24.695662,80.761645
Naukhad Khurd,24.699324,80.677089
Garlaga,24.700481,80.653927
Sohas Unmulan,24.69454,80.947704
Kathwaria Vritt,24.698998,80.801763
Guluwa,24.690551,80.779358
Itma,24.677808,80.938416
Belgahna,24.694728,80.597946
Nipaniya,24.694077,80.70914
Majhgawan Surfi,24.699309,80.832757
Chirhuli,24.698725,80.812082
Dangdiha,24.690136,80.920539
Hadkhar,24.690278,80.619205
Matiwa,24.691294,80.857795
Itwa,24.687931,80.668414
Delaura,24.687579,80.73926
Gendhwa,24.692702,80.848309
Barreh,24.691514,80.834192
Garlagi,24.691277,80.65624
Kothra,24.682471,80.907776
Dhaurhara,24.679357,80.690071
Majhiyar,24.688997,80.703629
Pasi,24.686246,80.894246
Odhaki Kalan,24.678042,80.648783
Karahiya Khurd,24.680004,80.605427
Chirhuli,24.679746,80.801157
Baraha,24.683578,80.679848
Korgawan,24.676609,80.732453
Karsara,24.686027,80.874768
Odhaki Khurd,24.680153,80.641795
Pata,24.683725,80.827216
Narayanpur,24.678701,80.71551
Pawaiya Kothar,24.68112,80.961821
Majhgawan,24.676958,80.885097
Bandhi,24.676771,80.659301
Pata,24.672588,80.748217
Bauliha,24.682073,80.705241
Kunwa,24.66605,80.930315
Mahuta,24.676855,80.627276
Poindha Kalan,24.670537,80.902988
Bharjuna Khurd,24.669056,80.863128
Itaura,24.676787,80.67437
Nakti,24.672349,80.770473
Mahdei,24.675236,80.781367
Gaura,24.677526,80.844394
Kunchi,24.677422,80.823118
Mainpura,24.674594,81.027582
Kalhari,24.669873,80.722736
Akauna,24.672789,81.006627
Kalhai,24.671831,80.702835
Kunchi,24.669193,80.635381
Tikri,24.670155,80.992604
Sujawal,24.664653,80.593366
Bairiha,24.670775,80.818887
Kaichibag,24.672458,80.834253
Rangoli Kothar,24.672618,80.967319
Bela,24.668415,80.612369
Shaha,24.664681,80.851375
Karahiya Kalan,24.667761,80.60056
Bara Khurd,24.664516,80.894985
Barakalan,24.669252,80.79543
Niranjanpur,24.667503,80.872756
Rehuta,24.667743,80.673518
Bamhauri,24.65925,80.979008
Raigaon,24.662597,80.704965
Hinauti,24.660003,80.620353
Masanaha,24.655865,80.673178
Chaura Kala,24.660875,80.803079
Bardadih,24.660563,81.025382
Rampur Chaurasi,24.644057,80.816859
Tikuri Kala,24.641475,80.841669
Patauda,24.664275,80.960727
Tedhgawan,24.666286,81.017338
Bharjuna Kalan,24.654281,80.879921
Chanpurwa,24.658857,80.810318
Badkher,24.664995,80.782835
Padraut,24.657589,80.64746
Khamhariya,24.654164,80.998111
Delauri,24.658567,80.73812
Korgawan,24.658722,81.01605
Kudiya,24.654864,80.784942
Shivpurwa,24.657643,80.844787
Gadara Pawai,24.658235,80.685274
Mudhaha Kalan,24.651193,80.748337
Tumin,24.654808,80.762525
Poindha Khurd,24.652802,80.910611
Jirwar Khurd,24.653358,80.707049
Ginjara,24.643908,80.624185
Bari Khurd,24.651868,80.937092
Tikuri Khurd,24.652344,80.854851
Umari,24.64539,80.864372
Chhipiya Dandi,24.654264,80.95572
Hinauta,24.65139,80.63718
Shahpura,24.64322,80.693708
Tikuri Kothar,24.648601,80.845242
Bari Kalan,24.640664,80.896726
Goraiya,24.6362,81.02236
Gadara Kothar,24.647265,80.679607
Khujha,24.646781,80.799476
Bhumkahar,24.644431,80.77399
Lohra,24.647621,80.952533
Puraini,24.644907,80.886125
Nimi Vritt,24.635324,80.918714
Ramasthan,24.633286,80.971908
Dhankher Khurd,24.638054,80.764569
Bhatgawan,24.635116,80.722799
Birhuli,24.638845,80.658567
Baraj,24.635349,80.908909
