Village,Latitude,Longitude
Pondi,23.322236,81.016897
Gahira Tola,23.322907,80.841439
Nausemar,23.322153,80.852713
Karnpura,23.313755,80.877332
Kurriha,23.310625,80.911643
Karoundi,23.309086,80.822627
Kohaka,23.303665,80.89547
Amadongri,23.299657,80.927593
Majhouli,23.302689,81.023846
Maneri,23.297528,80.848813
Maradari,23.292743,80.960833
Changera,23.281538,80.984784
Bandhwa Tola,23.26555,81.00111
Kaneri,23.283109,80.863153
Dulhari,23.285085,80.891248
Amuwari,23.286826,81.025971
Bhamraha,23.154732,81.362992
Ranidadar,23.267068,80.90547
Singhpur,23.27024,80.88003
Kolauni,23.275656,80.84361
Isanpura,23.263639,81.026238
Semariha,23.259757,80.872328
Bhodalkhar Abad,23.144081,81.419761
Kalda,23.246417,81.014144
Mahobadadar,23.233239,81.006125
Padera,23.21854,81.030979
Mudehna,23.561384,80.886117
Salaiya,23.571582,80.529305
Kouwajhar,23.565134,80.580939
Mahuda,23.57031,80.5641
Paharuwa,23.551546,80.547838
Khamtara,23.549937,80.531327
Diwari,23.555198,80.558059
Akhdar,23.535085,80.581271
Badkhera,23.515331,80.563708
Singhanpuri,23.521559,80.542658
Mer,23.564955,80.555945
Guda,23.531598,80.56193
Mahura CT,23.341928,80.910925
Pouniya,23.541727,80.563675
Bistawal,23.554188,80.564112
Manpur,23.764523,80.553762
Gopalpur,23.795441,80.576706
Saraswahi,23.792018,80.475146
Amha,24.832394,80.785197
Bijauri,23.800828,80.502964
Pathra,23.788126,80.55119
Jhalwara,23.772952,80.463395
Atariya,23.778424,80.514075
Pondi,23.77608,80.53051
Khirhani,23.775463,80.493085
Katangi Kal,23.758764,80.490709
Chapahni,23.761448,80.538554
Badera,23.750357,80.527022
Bichhiya,23.746033,80.4696
Umariya,23.750631,80.561467
Badwara Kalan,23.743215,80.58256
Sarra,23.744824,80.492372
Bachhauli,23.735473,80.511991
Rupond Rupaund,23.738142,80.55878
Saliya,23.726098,80.474997
Jhinjhari,23.734431,80.54287
Deorihatai,23.711208,80.491552
Bhaganwara,23.716266,80.520102
Bamhanganvan,23.72052,80.535949
Bachharwara,23.723097,80.570655
Chandan,23.711742,80.545221
Chiruhali,23.713551,80.557338
Bhadawar,23.698687,80.579728
Nanhwara,23.703074,80.532931
Parai Kap,23.699287,80.561312
Mainhara,23.700096,80.469736
Bichpura,23.696838,80.514997
Badagaon,23.68519,80.499513
Sejha,23.683433,80.518983
Bargawan,23.687119,80.534664
Magarhata,23.682411,80.559486
Guda,23.674153,80.541257
Jamuniya,23.662123,80.528976
Dhirpur,23.667498,80.567726
Malhan,23.663914,80.507469
Amgawan,23.660471,80.486827
Karibarah,23.657001,80.549765
Bhajiya,23.636278,80.580675
Dhangawan,23.639944,80.561228
Kokodabra,23.634413,80.52036
Bhalwara,23.61973,80.53521
Muhgawan,23.62016,80.583009
Khamhariya,23.587516,80.554328
Bichuwa,23.581731,80.534987
Mohanpani,23.648987,80.504606
Dugargawan,23.645694,80.516088
Tuman,23.610586,80.558143
Katangi Khurd,23.764758,80.508747
Mudgudi,23.566412,80.918736
Kaudia,23.570142,80.651441
Badrehal,23.576127,80.959902
Barbaspur,23.574662,80.694794
Lagwari,23.570293,80.794764
Barmani,23.567664,80.731726
Jatra Tola,23.570374,80.664573
Lorha,23.556753,80.763195
Dabarauha,23.562549,80.835627
Takhatpur,23.573214,80.86063
Dhanwahi,23.567442,80.818207
Kuwan,23.533717,80.863697
Bhodsa,23.556404,80.605576
Baderi,23.563919,80.866519
Ghoghri,23.554587,80.683737
Rojhin,23.564883,80.70265
Khusarwah,23.549643,80.985079
Putpura,23.500239,80.887413
Baherwah,23.550669,80.714008
Chirrawah,23.545995,80.901308
Badwahi,23.548962,80.95437
Chandpur,23.558092,80.626208
Narwar,23.549633,80.593092
Sewai,23.555217,80.851381
Narwar,23.52976,80.700553
Badwar,23.543412,80.93461
Bharola,23.545705,80.799871
Launga,23.55393,80.819286
Khale Kathai,23.539591,80.738017
Bilai Kap,23.541176,80.87294
Mahimar,23.546377,80.862431
Punchhi,23.549775,80.620834
Ghanghari,23.545114,80.843364
Jogin,23.532418,80.650431
Bharouli,23.546587,80.82002
Bhundi,23.537004,80.630424
Barhi,23.53372,80.669796
Bhodsa,23.544053,80.60991
Rohaniya,23.520275,81.013509
Chandoul,23.522226,80.783349
Pahadi Punchhi,23.574053,80.637583
Umaria,23.520475,80.836359
Majhgawan,23.533645,80.768715
Salaiya,23.531934,80.613946
Salaiya,23.539821,80.607278
Belmana,23.534152,80.596992
Chandwar,23.525771,80.795862
Kota,23.524944,80.897317
Bharhut,23.512166,80.940893
Majhauli,23.527391,80.677275
